app_name,textfield_id,called_functions,gen_text_inputs,data_id,required_function_call
Tubi_Movies,gender_593_674,['get_friend_profile'],"[['Female', 'Female', 'Male', 'Female', 'Female']]",[9],
Tubi_Movies,text_year_or_age_53_674,[],"[['26', '32', '1996', '26', '26']]",[8],
Tubi_Movies,email_53_859,[],"[['anony1017mous@gmail.com', 'jade.green@example.com', 'functions.generate_random_email()', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com']]",[7],
com.velas.mobile_wallet,718740312,[],"[['🇺🇸 English', '🇰🇷 Korean', '🇯🇵 Japanese', '🇰🇷 Korean', '🇰🇷 Korean']]",[13],
com.velas.mobile_wallet,384035467,[],"[['V3l@$_M0b!l3_W@ll3t', 'P@ssw0rd123!', 'V3l@$_M0b!l3_W@ll3t123!', 'Myp@ssw0rd!', 'J@deGr33n123!']]",[12],
Gallery,search_src_text_137_106,['get_samsung_product_info'],"[['Nature', 'Landscapes', 'Family', 'Mountains', 'Samsung Galaxy S21 trendy']]",[107],
Contacts,editOrganizationTitle_144_963,[],"[['Software Engineer', 'Marketing Manager', 'Project Manager', 'Sales Manager', 'Senior Product Manager']]",[114],get_friend_profile
Contacts,editOrganizationDepartment_144_1079,[],"[['Social', 'Sales', 'Marketing', 'Human Resources', 'Human Resources']]",[115],get_friend_profile
Contacts,forCursorEdit_158_1807,"['get_friend_profile', 'get_friend_profile', 'get_friend_profile']","[['Groups, Not assigned', 'Friends', 'Jack Walker', 'Jamie Obrien', 'Hiking Enthusiasts']]",[112],get_friend_profile
Contacts,forCursorEdit_158_819,['get_friend_profile'],"[['Software Engineer at ABC Company', 'Software Engineer at XYZ Corporation', 'Sales Manager at XYZ Corporation', 'Software Engineer at XYZ Corporation', 'Marketing Specialist at ABC Company']]",[109],get_friend_profile
Contacts,editOrganizationCompany_144_1195,['get_samsung_product_info'],"[['Samsung Electronics', 'Galaxy S21', 'Acme Corporation', 'Samsung Corporation', 'Samsung Electronics']]",[116],get_friend_profile
Contacts,forCursorEdit_158_557,[],"[['Jade Green', 'Jade Green', 'Jade Green', 'Jade Green', 'Jade Green']]",[108],get_friend_profile
Contacts,search_src_text_137_106,"['get_friend_profile', 'get_friend_profile']","[['Michelle Sanders', 'Jamie Obrien', 'John Smith', 'Jade Green', 'Jade Green']]",[117],get_friend_profile
Contacts,forCursorEdit_158_1408,[],"[['010-6478-2959', '(+82)10-6478-2959', '(+82)10-1234-5678', '+821012345678', '(+82)10-8765-4321']]",[110],get_friend_profile
Contacts,nameEdit_144_701,[],"[['Jade Green', 'Jade Green', 'Jade Green', 'Jade Green', 'Jade Green']]",[113],get_friend_profile
Contacts,forCursorEdit_158_1560,[],"[['anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com']]",[111],get_friend_profile
Podcast_Addict_Podcast_player_v2022.4,pattern_86_306,[],"[['true crime', 'comedy podcasts', 'friendship', 'comedy podcasts', 'friendship']]",[14],
de.chaosdorf.meteroid,hostname_44_360,[],"[['https://mete.chaosdorf.space/api/v1', 'https://mete.chaosdorf.space/api/v1', 'https://mete.chaosdorf.space/api/v1', 'https://mete.chaosdorf.space/api/v1', 'https://mete.chaosdorf.space/api/v1']]",[15],
com.invoiceninja.app,_88_1106,[],"[['coinse123*', 'invoiceNinja@123', 'Green123@!', 'Invoice!Ninja123*', 'Green123@!']]",[17],
com.invoiceninja.app,_88_943,[],"[['anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'jade.green26@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com']]",[16],
com.invoiceninja.app,_88_1268,[],"[['', '123456', '123456', '891023', '123abc456']]",[18],
com.poupa.vinylmusicplayer,artist_44_660,"['get_friend_profile', 'get_friend_profile', 'get_friend_profile', 'get_friend_profile', 'get_friend_profile', 'get_friend_profile', 'get_friend_profile']","[['John Smith', 'Leroy Johnston', 'Rosaria Garnier', 'Jamie Obrien', 'Emily Johnson']]",[21],
com.poupa.vinylmusicplayer,search_src_text_220_93,['get_friend_profile'],"[['Pop music', 'Jazz music', 'Rock music', 'R&B music', 'Jamie Obrien']]",[34],
com.poupa.vinylmusicplayer,lyrics_44_1465,[],"[['Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed gravida, velit ac vulputate pellentesque, lacus leo iaculis nulla, nec ullamcorper odio massa id tellus. Sed vel iaculis nisi, at tristique urna. Suspendisse potenti. Sed non augue ipsum. Donec nec risus vitae turpis lobortis vulputate.', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed gravida, velit ac vulputate pellentesque, lacus leo iaculis nulla, nec ullamcorper odio massa id tellus. Sed vel iaculis nisi, at tristique urna. Suspendisse potenti. Sed non augue ipsum. Donec nec risus vitae turpis lobortis vulputate.', ""I'm just a poor boy, I need no sympathy"", ""I'm singing in the rain, just singing in the rain"", ""I'm singing in the rain, just singing in the rain.""]]",[33],
com.poupa.vinylmusicplayer,title1_44_272,"['get_friend_profile', 'get_friend_profile']","[['Lofi Study', 'Lofi Study', 'Chill Vibes', 'Leroy Johnston', 'Serene Melodies']]",[19],
com.poupa.vinylmusicplayer,disc_number_44_1304,[],"[['2', '3', '5', '2', '2']]",[25],
com.poupa.vinylmusicplayer,title2_44_433,"['get_friend_profile', 'get_friend_profile']","[['Summer Vibes', 'Chill Vibes', 'Jamie Obrien - Outgoing and friendly', 'Smooth Jazz Vibes', 'Outgoing and friendly - Jamie Obrien']]",[20],
com.poupa.vinylmusicplayer,year_44_982,['get_samsung_product_info'],"[['2022', '2021', '2023', '2022', '2018']]",[23],
com.poupa.vinylmusicplayer,genre_44_821,"['get_friend_profile', 'get_friend_profile']","[['Latin', 'Jazz', 'Jazz', 'Jazz', 'Pop']]",[22],
com.poupa.vinylmusicplayer,track_number_44_1143,[],"[['2', '2', '3', '4', '2']]",[24],
org.billthefarmer.currency,edit_494_242,[],"[['2.500', '852.000', '0.001', '3.142', '5.678']]",[35],
Samsung Members,inputEditText_47_618,"['get_samsung_product_info', 'get_samsung_product_info', 'get_samsung_product_info', 'get_samsung_product_info', 'get_samsung_product_info']","[['Odyssey G7', 'LC27G55TQWNXZA', 'Odyssey G7', 'Odyssey G7', 'Odyssey G7']]",[118],get_samsung_product_info
Samsung Members,nickname_63_1622,[],"[['JadeGreen123', 'SamsungLover26', 'SocialJade', 'ExtrovertJadeGreen26', 'GreenJade26']]",[120],
Samsung Members,inputEditText_47_825,"['get_samsung_product_info', 'get_samsung_product_info']","[['ABCD1234', 'XYZ5678', 'LC27G55TQWNXZA', 'Odyssey G7', '1234EFGH']]",[119],get_samsung_product_info
Podcast_Player_v7.0.0-220308033.rd0a0ae8,zk_220_93,"['get_friend_profile', 'get_friend_profile']","[['김어준', 'software engineer and travel', 'extrovert person', 'Travel podcasts', 'health and wellness']]",[36],
BBC_News_v5.23.0,search_198_179,"['get_friend_profile', 'get_samsung_product_info', 'get_friend_profile']","[['Climate change impact on biodiversity', 'Climate change impact on ecosystems', ""Jade's perspective on climate change"", 'Galaxy S21', 'Michelle Sanders']]",[37],
Brave_Private_Web_Browser_v1.39.115,985110063,['get_friend_profile'],"[['I want to search for the latest news about technology advancements.', 'leroy.johnston@example.com', 'Meet new people and make new friends.', 'latest technology news', 'technology forums to meet like-minded people']]",[40],
Brave_Private_Web_Browser_v1.39.115,url_bar_121_74,"['get_friend_profile', 'get_friend_profile']","[['https://www.instagram.com', 'https://www.facebook.com', 'Jamie Obrien Brave_Private_Web_Browser_v1.39.115', 'applestore.com', 'I am a software engineer and I love to travel and explore new places.']]",[39],
Brave_Private_Web_Browser_v1.39.115,url_bar_154_74,[],"[['www.example.com', 'www.brave.com', 'www.amazon56789.com', 'www.coolwebsite123.com', 'www.google.com']]",[38],
My Files,search_src_text_137_106,"['get_samsung_product_info', 'get_samsung_product_info']","[['vacation photos', 'Meeting notes', 'Project proposal', 'Project report', 'Beach vacation']]","[121, 122]",
Samsung Internet,location_bar_edit_text_205_106,['get_samsung_product_info'],"[['www.samsung.com', 'technology news', 'Samsung Internet tutorial', 'Samsung Galaxy S21', 'Samsung Internet tutorial for beginners']]",[123],
Messenger,Phone number or email_55_1442,['get_friend_profile'],"[['(+82)10-6478-2959', '081-176-3177', 'anony1017mous@gmail.com', '(+82)10-6478-2959', 'anony1017mous@gmail.com']]",[41],get_friend_profile
Messenger,Password_55_1598,[],"[['coinse123*', 'p@ssw0rd123!', 'mYp4ssw0rd!', 'P@$$w0rd123!', 'P@ssw0rd2021!']]",[42],
deep.ryd.rydplayer,_155_1041,"['get_friend_profile', 'get_friend_profile']","[['<Enter a valid Youtube playlist URL>', '[Enter a valid Youtube playlist URL]', 'https://www.youtube.com/playlist?list=PLuNFWGZvQFSX6nY3EwfLcJZvF2XqzQ3AX', 'https://www.youtube.com/playlist?list=PLuNFWGZvQFSX6nY3EwfLcJZvF2XqzQ3AX', 'https://www.youtube.com/playlist?list=PLuNFWGZvQFSX6nY3EwfLcJZvF2XqzQ3AX']]",[43],
Plex_Stream_Movies_TV,2049720230,[],"[['Action movies', 'Romantic comedies', 'Sci-fi movies', 'Thriller movies', 'Comedy movies']]",[44],
im.status.ethereum,password-input_88_806,[],"[['coinse123*', 'coinse123*', 'coinse123*', 'coinse123*', 'coinse123*']]",[46],
im.status.ethereum,password-input_88_597,[],"[['P@ssw0rd', 'Secure123', 'Green2021!', 'P@ssw0rd123!', 'Status@2022!']]",[45],
BOTIM_Video_and_Voice_Call_v2.7.9,search_box_22_242,"['get_samsung_product_info', 'get_samsung_product_info']","[['South Korea', 'Korea', 'South Korea', 'Korea Galaxy S21', 'Galaxy S21']]",[47],
nl.asymmetrics.droidshows,search_text_0_220,[],"[['Friends', 'Game of Thrones', 'The Big Bang Theory', 'Stranger Things', 'The Office']]",[49],
nl.asymmetrics.droidshows,search_src_text_183_81,['get_friend_profile'],"[['Friends', 'Madison Reyes', 'The Crown', 'Stranger Things', 'Stranger Things']]",[48],
org.y20k.escapepod,search_src_text_248_1053,"['get_friend_profile', 'get_friend_profile']","[['The Joe Rogan Experience', 'The Daily Podcast', 'The Podcast Lounge', 'Jack Walker', 'The Michelle Obama Podcast']]",[50],
OK_Social_Network_v22.6.1,text_login_66_448,[],"[['anony1017mous@gmail.com', '(+82)10-6478-2959', '(+82)10-6478-2959', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com']]",[51],
OK_Social_Network_v22.6.1,password_text_66_607,['get_friend_profile'],"[['coinse123*', 'green123*', 'JadeGreen123*', 'GreenJade123*', 'Purple123*']]",[52],
Hulu,password_66_875,[],"[['coinse123*', 'p@ssw0rd2022', 'H@lU_2022!', 'H@lU_2022!', 'J@deGReen_96']]",[56],
Hulu,email_66_653,[],"[['anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com', 'anony1017mous@gmail.com']]",[55],
org.totschnig.myexpenses,Label_327_227,['get_friend_profile'],"[['Personal Expenses', 'Travel Expenses', 'Socializing Expenses', ""Santiago's Expenses"", 'Vibrant Expenses']]",[64],
org.totschnig.myexpenses,AmountEditText_459_1327,[],"[['354.78', '529.47', '723.56', '936.12', '835.29']]",[67],
org.totschnig.myexpenses,Payee_327_641,"['get_friend_profile', 'get_friend_profile']","[['John Smith', 'Emily Johnson', 'Leroy Johnston', 'Emma Davis', 'Michelle Sanders']]","[57, 61]",get_friend_profile
org.totschnig.myexpenses,AmountEditText_459_499,[],"[['25.50', '100.00', '50.75', '72.35', '12.34']]",[66],
org.totschnig.myexpenses,Comment_327_1055,[],"[['This expense was for groceries and household items.', 'I had a great time shopping with my friends at the mall today. We bought some new clothes and accessories.', 'I had a great time shopping with my friends at the mall today. We bought some new clothes and accessories.', 'This expense was for a dinner with friends at a restaurant.', 'I had a productive day at work today. Completed all my tasks and had a successful meeting with the team.']]",[59],
org.totschnig.myexpenses,Description_327_365,"['get_friend_profile', 'get_friend_profile', 'get_friend_profile']","[['Personal Expenses Account', ""I am a friendly and outgoing person who loves to meet new people. I enjoy spending time with my friends and family and going on adventures. I'm always up for a challenge and I like to learn new things."", ""I am a friendly and outgoing person who loves to meet new people. I enjoy spending time with my friends and family and going on adventures. I'm always up for a challenge and I like to learn new things. I have a passion for travel and exploring new places, which allows me to experience different cultures and create lasting memories."", ""I am a 26-year-old Swiss woman living in Mönthal. I love the outdoors and spending time with family and friends. I'm an introvert but I'm also a great listener and always willing to help. This new account will help me track my expenses and manage my finances effectively."", 'I am an introverted person who loves to explore new places and meet new people. This new account will help me track my expenses and manage my finances effectively.']]",[65],
org.totschnig.myexpenses,AmountEditText_459_361,[],"[['$42.50', '$25.75', '$39.99', '$15.00', '$87.50']]",[58],
org.totschnig.myexpenses,tag_edit_44_220,[],"[['Shopping Expenses', 'Travel Expenses', 'Socializing Expenses', 'Food Expenses', 'Socializing Expenses']]",[60],
Issuu_magazines_news_books_v5.67.0,search_src_text_154_92,"['get_samsung_product_info', 'get_samsung_product_info', 'get_samsung_product_info']","[['technology', 'Galaxy S21', 'Odyssey G7', 'Galaxy S21', 'Samsung watch']]",[68],
Firefox_Fast_Private_Browser_v101.1.1,mozac_browser_toolbar_edit_url_view_154_1331,[],"[['TEXT_CONTENT: cats and dogs', 'meet new people and make new friends', 'social events in Daejeon', 'moz://a', 'social events in Daejeon']]",[69],
co.appreactor.news,username_44_654,[],"[['anony1017mous', 'anony1017mous', 'anony1017mous', 'anony1017mous', 'anony1017mous']]",[71],
co.appreactor.news,password_44_877,[],"[['coinse123*', 'GreenJade123!', 'Galaxy@123', 'TEXT_CONTENT: coinse123*', 'NewPass123#']]",[72],
co.appreactor.news,serverUrl_44_301,[],"[['https://www.myserver.com', 'https://j.myserver.com', '<call the function to generate a new server URL>', 'https://example.com', 'https://example.com']]",[70],
Opera_Mini_fast_web_browser_v63.0.2254.61942,url_field_140_231,['get_samsung_product_info'],"[['www.opera.com', 'bbc.co.uk', 'samsung.com', 'www.samsung.com/galaxy-s21-sm-g991uzvaxaa', 'www.amazon.com']]",[73],
HERE_WeGo_Maps_Navigation_v4.4.200,_44_176,['get_friend_profile'],"[['Seoul Station', 'Daejeon Convention Center', 'My friend Leroy Johnston lives in Busan.', 'Busan Station', 'Toledo, Spain']]",[74],
Waze_Navigation_Live_Traffic_v4.84.0.2,sideMenuSearchBox_33_621,['get_friend_profile'],"[['123 Main Street, Daejeon, South Korea', '123 Main Street, Daejeon, South Korea', 'Daejeon, South Korea', '123 Main Street, Ballina, Galway, Ireland', '456 Park Avenue, Daejeon, South Korea']]",[75],
Instagram,phone_field_293_744,[],"[['(555) 123-4567', '(+82)10-6478-2959', '(+82)10-6478-2959', '(555) 987-6543', '(555) 123-4567']]",[83],
Instagram,email_field_77_747,"['get_friend_profile', 'get_friend_profile']","[['anony1017mous@gmail.com', 'jade.green@gmail.com', 'anony1017mous@gmail.com', 'oscar.turner@example.com', 'michelle.sanders@example.com']]",[82],
Instagram,search_122_278,['get_samsung_product_info'],"[['South Korea', 'Albania', 'United States', 'South Korea', 'Galaxy A52']]",[79],
Instagram,full_name_77_391,[],"[['Jade Green', 'Jade Green', 'Jade Green', 'Jade Green', 'Jade Green']]","[77, 80]",
Instagram,confirmation_field_77_508,[],"[['[Enter the confirmation code received on the phone]', '123456', 'CONF2959', '987654', '987654']]",[76],
Instagram,password_77_567,[],"[['coinse123*', 'InstaPass123*', 'InstaPass2022*', 'Green1234*', 'PassInsta#2023*']]","[78, 81]",
me.hackerchick.catima,storeNameEdit_199_417,[],"[['My Store', ""Jade's Store"", ""Green's Clothing Store"", ""Green's Electronics"", ""Green's Supermarket""]]",[84],
me.hackerchick.catima,cardIdView_28_613,[],"[['B56789B', 'E24680E', 'C98765C', 'D76543D', 'F12345F']]",[85],
me.hackerchick.catima,search_src_text_176_103,['get_samsung_product_info'],"[['Apples', 'Bananas', 'Milk', 'Cereal', 'Galaxy S21']]",[87],
me.hackerchick.catima,cardId_285_408,[],"[['AB1234', 'CD5678', 'AB1234', 'XY7890', 'XY5678']]",[86],
WhatsApp,registration_cc_182_480,"['get_samsung_product_info', 'get_friend_profile', 'get_samsung_product_info', 'get_friend_profile']","[['1', '82', '+64', '1', '+82']]","[89, 92]",
WhatsApp,registration_phone_400_480,['get_friend_profile'],"[['(+82)10-6478-2959', '(+1)555-123-4567', '(+1)555-987-6543', '(+82)10-6478-2959', '(+82)10-6478-2959']]","[88, 91]",
WhatsApp,verify_sms_code_input_320_392,[],"[['123456', '654321', '987654', '789012', '567890']]",[90],
Clock,preset_name_48_1944,['get_friend_profile'],"[[""Jade's Timer"", 'Morning Alarm', 'Study Break Timer', ""Jade's Timer"", ""Jamie's Timer""]]",[131],
Clock,alarm_name_47_1388,"['get_friend_profile', 'get_friend_profile']","[['Alarm for Meeting', ""Jamie's Birthday Alarm"", 'Morning Yoga Alarm', ""Jack's Adventure Alarm"", 'Galaxy Watch Alarm']]",[126],get_friend_profile
Clock,numberpicker_input_612_408,[],"[['25', '01', '00', '05', '29']]",[125],
Clock,worldclock_search_map_txt_find_158_140,"['get_friend_profile', 'get_friend_profile', 'get_friend_profile']","[['Daejeon', 'Seoul', 'Portarlington, Ireland', 'Tokyo, Japan', 'Portarlington, Ireland']]",[127],
Clock,numberpicker_input_144_408,['get_samsung_product_info'],"[['07', '00', '08', '58', '05']]",[124],
Clock,hour_48_1787,['get_samsung_product_info'],"[['14', '09', '10', '03', '18']]",[128],
Clock,second_354_1787,[],"[['30', '45', '15', '50', '25']]",[130],
Clock,minute_201_1787,[],"[['30', '45', '15', '50', '20']]",[129],
